1    2    5    4 2002    1
3    2    6    4 2002    2
1 -100 -100 -100 2002    3
2 -100 -100 -100 2002    4
3 -100 -100 -100 2002    5
1    2    4    5 2002    6
1 -100 -100 -100 2002    7
3 -100 -100 -100 2002    8
3    3    6    4 2002    9
1 -100 -100 -100 2002   10
2 -100 -100 -100 2002   11
1 -100 -100 -100 2002   12
2 -100 -100 -100 2002   13
3    2    4    4 2002   14
1 -100 -100 -100 2002   15
3 -100 -100 -100 2002   16
1    3    6    6 2002   17
2    1    4    3 2002   18
3    2    4    3 2002   19
1 -100 -100 -100 2002   20
3 -100 -100 -100 2002   21
1    2    4    2 2002   22
2    3    2    1 2002   23
1 -100 -100 -100 2002   24
2 -100 -100 -100 2002   25
3 -100 -100 -100 2002   26
1    2    4    6 2002   27
2 -100 -100 -100 2002   28
1 -100 -100 -100 2002   29
2 -100 -100 -100 2002   30
3 -100 -100 -100 2002   31
1    1    5    3 2002   32
2    1    2    3 2002   33
3    2    4    2 2002   34
3 -100 -100 -100 2002   35
1    2    4    4 2002   36
2    3    3    4 2002   37
3    1    4    6 2002   38
1 -100 -100 -100 2002   39
3 -100 -100 -100 2002   40
1    1    6    4 2002   41
1 -100 -100 -100 2002   42
2    2    6    5 2002   43
1 -100 -100 -100 2002   44
3 -100 -100 -100 2002   45
1    1    3    4 2002   46
2    2    4    4 2002   47
3    1    4    4 2002   48
2 -100 -100 -100 2002   49
3 -100 -100 -100 2002   50
1    1    4    5 2002   51
2    2    4    4 2002   52
3    3    6    4 2002   53
1 -100 -100 -100 2002   54
3 -100 -100 -100 2002   55
1    1    6    3 2002   56
3    2    6    4 2002   57
1 -100 -100 -100 2002   58
2    1    4    5 2002   59
1 -100 -100 -100 2002   60
2 -100 -100 -100 2002   61
3 -100 -100 -100 2002   62
1    2    2    3 2002   63
2    1    6    4 2002   64
3    2    6    2 2002   65
3 -100 -100 -100 2002   66
2    3    5    4 2002   67
1 -100 -100 -100 2002   68
2 -100 -100 -100 2002   69
3 -100 -100 -100 2002   70
1    3    6    4 2002   71
2    2    6    5 2002   72
2 -100 -100 -100 2002   73
3 -100 -100 -100 2002   74
3    2    5    4 2002   75
1    1    4    5 2002   76
2 -100 -100 -100 2002   77
1    2    6    4 2002   78
3    1    4    1 2002   79
2 -100 -100 -100 2002   80
3 -100 -100 -100 2002   81
2    2    5    4 2002   82
3    2    3    4 2002   83
2 -100 -100 -100 2002   84
3    1    6    6 2002   85
1 -100 -100 -100 2002   86
2 -100 -100 -100 2002   87
3 -100 -100 -100 2002   88
2    1    3    6 2002   89
1 -100 -100 -100 2002   90
2 -100 -100 -100 2002   91
3 -100 -100 -100 2002   92
1    1    4    5 2002   93
2    2    4    4 2002   94
2 -100 -100 -100 2002   95
1    2    5    4 2002   96
2    2    6    4 2002   97
1 -100 -100 -100 2002   98
1    2    3    4 2002   99
1    2    6    1 2002  100
2    2    4    4 2002  101
1 -100 -100 -100 2002  102
2 -100 -100 -100 2002  103
3 -100 -100 -100 2002  104
3    2    4    4 2002  105
1 -100 -100 -100 2002  106
3 -100 -100 -100 2002  107
1    2    3    3 2002  108
2    2    4    2 2002  109
3 -100 -100 -100 2002  110
3    2    6    4 2002  111
1 -100 -100 -100 2002  112
2 -100 -100 -100 2002  113
1    2  -98  -98 2002  114
1 -100 -100 -100 2002  115
3    3    6    4 2002  116
1 -100 -100 -100 2002  117
2 -100 -100 -100 2002  118
3 -100 -100 -100 2002  119
1    2    4    4 2002  120
3    3    1    5 2002  121
2 -100 -100 -100 2002  122
3 -100 -100 -100 2002  123
1    3    4    1 2002  124
2    3    4    5 2002  125
3    3    6    4 2002  126
1 -100 -100 -100 2002  127
3 -100 -100 -100 2002  128
2    1    1    1 2002  129
3    1    4    4 2002  130
1 -100 -100 -100 2002  131
3 -100 -100 -100 2002  132
1    2    6    4 2002  133
2    2    6    4 2002  134
2 -100 -100 -100 2002  135
1    2    6    3 2002  136
2 -100 -100 -100 2002  137
1    2    4    3 2002  138
2    2    6    3 2002  139
3    1    6    4 2002  140
1 -100 -100 -100 2002  141
2 -100 -100 -100 2002  142
3    2    5    4 2002  143
1 -100 -100 -100 2002  144
2 -100 -100 -100 2002  145
3 -100 -100 -100 2002  146
1    1    4    5 2002  147
1 -100 -100 -100 2002  148
3 -100 -100 -100 2002  149
1    2    6  -98 2002  150
3 -100 -100 -100 2002  151
1    1    6    4 2002  152
2    1    2    4 2002  153
3    2    4    3 2002  154
3 -100 -100 -100 2002  155
1 -100 -100 -100 2002  156
3 -100 -100 -100 2002  157
1    2    5    5 2002  158
2    1    4    3 2002  159
3    2    5    5 2002  160
1 -100 -100 -100 2002  161
2 -100 -100 -100 2002  162
3 -100 -100 -100 2002  163
2    2    4    4 2002  164
3    2    6    4 2002  165
2 -100 -100 -100 2002  166
3 -100 -100 -100 2002  167
1    2    4    2 2002  168
2    3    4    4 2002  169
3    1    6    6 2002  170
1 -100 -100 -100 2002  171
2 -100 -100 -100 2002  172
3 -100 -100 -100 2002  173
1    3    6    5 2002  174
2    3    4    4 2002  175
3    1    4    4 2002  176
1 -100 -100 -100 2002  177
3 -100 -100 -100 2002  178
2 -100 -100 -100 2002  179
2    3    4    4 2002  180
3 -100 -100 -100 2002  181
1    2    6    2 2002  182
2    2    6    3 2002  183
1    2    1    4 2002  184
3    2    4    4 2002  185
1    2    5    4 2002  186
2    2    2    1 2002  187
3    2    6    6 2002  188
1 -100 -100 -100 2002  189
2 -100 -100 -100 2002  190
1    2    3    3 2002  191
2    3    6    6 2002  192
2 -100 -100 -100 2002  193
3 -100 -100 -100 2002  194
3    2    3    1 2002  195
1 -100 -100 -100 2002  196
2 -100 -100 -100 2002  197
3 -100 -100 -100 2002  198
3 -100 -100 -100 2002  199
2    2  -98    4 2002  200
3 -100 -100 -100 2002  201
1    2    5    3 2002  202
3    1    6    4 2002  203
1 -100 -100 -100 2002  204
2 -100 -100 -100 2002  205
3 -100 -100 -100 2002  206
1    2    6    3 2002  207
2    3    6    5 2002  208
3    2    5    4 2002  209
1 -100 -100 -100 2002  210
2 -100 -100 -100 2002  211
1    2    4    2 2002  212
2    2    6    2 2002  213
1 -100 -100 -100 2002  214
2 -100 -100 -100 2002  215
3 -100 -100 -100 2002  216
1    3  -98  -98 2002  217
1 -100 -100 -100 2002  218
2 -100 -100 -100 2002  219
1    1    6    5 2002  220
1 -100 -100 -100 2002  221
2 -100 -100 -100 2002  222
3    3    4    6 2002  223
